order,M,K,N,rep,time_ns
jik,512,1024,256,7,445370936
jik,512,1024,256,8,445409936
jik,512,1024,256,9,445389786
jik,512,1024,256,10,445395972
jik,512,1024,256,11,445412344
jik,512,1024,256,12,445384782
jik,512,1024,256,13,445388516
jik,512,1024,256,14,445352802
jki,512,1024,256,0,660106396
jki,512,1024,256,1,660142514
jki,512,1024,256,2,660074616
jki,512,1024,256,3,660062650
jki,512,1024,256,4,660070050
jki,512,1024,256,5,660166608
jki,512,1024,256,6,660116010
jki,512,1024,256,7,660138172
jki,512,1024,256,8,660220674
jki,512,1024,256,9,660180852
jki,512,1024,256,10,660187420
jki,512,1024,256,11,660120448
jki,512,1024,256,12,660105784
jki,512,1024,256,13,660142860
jki,512,1024,256,14,660103994
kij,512,1024,256,0,83648516
kij,512,1024,256,1,83651374
kij,512,1024,256,2,83647508
kij,512,1024,256,3,83654034
kij,512,1024,256,4,83652240
kij,512,1024,256,5,83656220
kij,512,1024,256,6,83664942
kij,512,1024,256,7,83650354
kij,512,1024,256,8,83666580
kij,512,1024,256,9,83665680
kij,512,1024,256,10,83657866
kij,512,1024,256,11,83655868
kij,512,1024,256,12,83647972
kij,512,1024,256,13,83655210
kij,512,1024,256,14,83646130
kji,512,1024,256,0,658304760
kji,512,1024,256,1,658270402
kji,512,1024,256,2,658333518
kji,512,1024,256,3,658298576
kji,512,1024,256,4,658332556
kji,512,1024,256,5,658261384
kji,512,1024,256,6,658307252
kji,512,1024,256,7,658291836
kji,512,1024,256,8,658327268
kji,512,1024,256,9,658238552
kji,512,1024,256,10,658300544
kji,512,1024,256,11,658268350
kji,512,1024,256,12,658292330
kji,512,1024,256,13,658353528
kji,512,1024,256,14,658315810
