variant,input,n,rep,time_ns
alloc,D,1000000,14,31868772
alloc,D,1000000,15,31901996
alloc,D,1000000,16,31901880
alloc,D,1000000,17,31910612
alloc,D,1000000,18,31904644
alloc,D,1000000,19,31900022
alloc,D,1000000,20,31902720
alloc,D,1000000,21,31893420
alloc,D,1000000,22,31892544
alloc,D,1000000,23,31872012
alloc,D,1000000,24,31832496
alloc,D,1000000,25,31865880
alloc,D,1000000,26,31830102
alloc,D,1000000,27,31844976
alloc,D,1000000,28,31833806
alloc,D,1000000,29,31894344
shared,D,1000000,0,19293026
shared,D,1000000,1,19294640
shared,D,1000000,2,19278036
shared,D,1000000,3,19295792
shared,D,1000000,4,19286564
shared,D,1000000,5,19293676
shared,D,1000000,6,19252864
shared,D,1000000,7,19229884
shared,D,1000000,8,19222716
shared,D,1000000,9,19222552
shared,D,1000000,10,19240580
shared,D,1000000,11,19237780
shared,D,1000000,12,19218874
shared,D,1000000,13,19245628
shared,D,1000000,14,19217702
shared,D,1000000,15,19227398
shared,D,1000000,16,19199382
shared,D,1000000,17,19267212
shared,D,1000000,18,19303280
shared,D,1000000,19,19281388
shared,D,1000000,20,19270238
shared,D,1000000,21,19223264
shared,D,1000000,22,19241202
shared,D,1000000,23,19228652
shared,D,1000000,24,19248562
shared,D,1000000,25,19228176
shared,D,1000000,26,19249394
shared,D,1000000,27,19224810
shared,D,1000000,28,19223712
shared,D,1000000,29,19231958
stdsort,D,1000000,0,6487440
stdsort,D,1000000,1,6417996
stdsort,D,1000000,2,6430638
stdsort,D,1000000,3,6409596
stdsort,D,1000000,4,6405056
stdsort,D,1000000,5,6471320
stdsort,D,1000000,6,6406998
stdsort,D,1000000,7,6467114
stdsort,D,1000000,8,6399368
stdsort,D,1000000,9,6405924
stdsort,D,1000000,10,6411794
stdsort,D,1000000,11,6408848
stdsort,D,1000000,12,6409178
stdsort,D,1000000,13,6407540
stdsort,D,1000000,14,6412682
stdsort,D,1000000,15,6418884
stdsort,D,1000000,16,6411106
stdsort,D,1000000,17,6407598
stdsort,D,1000000,18,6409762
stdsort,D,1000000,19,6412648
stdsort,D,1000000,20,6403108
stdsort,D,1000000,21,6400814
stdsort,D,1000000,22,6401448
stdsort,D,1000000,23,6398400
stdsort,D,1000000,24,6474504
stdsort,D,1000000,25,6477402
stdsort,D,1000000,26,6474092
stdsort,D,1000000,27,6406310
stdsort,D,1000000,28,6470512
stdsort,D,1000000,29,6407218
qsort,D,1000000,0,36841742
qsort,D,1000000,1,36008168
qsort,D,1000000,2,35991684
qsort,D,1000000,3,35993266
qsort,D,1000000,4,36017620
qsort,D,1000000,5,35989764
qsort,D,1000000,6,35984082
qsort,D,1000000,7,36009322
qsort,D,1000000,8,36010236
qsort,D,1000000,9,36004104
qsort,D,1000000,10,36006958
qsort,D,1000000,11,36011148
qsort,D,1000000,12,35995118
qsort,D,1000000,13,36001648
qsort,D,1000000,14,35999016
qsort,D,1000000,15,35992952
qsort,D,1000000,16,35999038
qsort,D,1000000,17,35978654
qsort,D,1000000,18,36005124
qsort,D,1000000,19,35991854
qsort,D,1000000,20,35993196
qsort,D,1000000,21,35976678
qsort,D,1000000,22,35986344
qsort,D,1000000,23,35997136
qsort,D,1000000,24,35984528
qsort,D,1000000,25,35993976
qsort,D,1000000,26,35987276
qsort,D,1000000,27,35991056
qsort,D,1000000,28,35987812
qsort,D,1000000,29,35993944
alloc,E,1000000,0,32616418
alloc,E,1000000,1,31980378
alloc,E,1000000,2,31813360
alloc,E,1000000,3,31843568
alloc,E,1000000,4,31913048
alloc,E,1000000,5,31831322
alloc,E,1000000,6,31840596
alloc,E,1000000,7,31857110
alloc,E,1000000,8,31836268
alloc,E,1000000,9,31858792
alloc,E,1000000,10,31885704
alloc,E,1000000,11,31813642
alloc,E,1000000,12,31873854
alloc,E,1000000,13,31857374
alloc,E,1000000,14,31857542
alloc,E,1000000,15,31869982
alloc,E,1000000,16,31858784
alloc,E,1000000,17,31860082
alloc,E,1000000,18,31857206
alloc,E,1000000,19,31871934
alloc,E,1000000,20,31894720
alloc,E,1000000,21,31904168
alloc,E,1000000,22,31910556
alloc,E,1000000,23,31818698
alloc,E,1000000,24,31949400
alloc,E,1000000,25,31873140
alloc,E,1000000,26,31867106
alloc,E,1000000,27,31836620
alloc,E,1000000,28,31852212
alloc,E,1000000,29,31879808
shared,E,1000000,0,19241218
shared,E,1000000,1,19267884
shared,E,1000000,2,19253388
shared,E,1000000,3,19268484
shared,E,1000000,4,19253264
shared,E,1000000,5,19246178
shared,E,1000000,6,19239668
shared,E,1000000,7,19247132
shared,E,1000000,8,19242116
shared,E,1000000,9,19242090
shared,E,1000000,10,19242472
shared,E,1000000,11,19246152
