opt,type,n,rep,time_ns
O3, int, 100000000, 15, 55895686
O3, int, 100000000, 15, 56772554
O3, int, 100000000, 15, 56692572
O3, int, 100000000, 15, 56204608
O3, int, 100000000, 15, 56670970
O3, int, 100000000, 15, 57196604
O3, int, 100000000, 15, 55961236
O3, int, 100000000, 15, 56740262
O3, int, 100000000, 15, 56648652
O3, int, 100000000, 15, 56758854
O3, int, 100000000, 15, 56674552
O3, int, 100000000, 15, 56653574
O3, double, 1000000, 30, 1098754
O3, double, 1000000, 30, 1091032
O3, double, 1000000, 30, 1090804
O3, double, 1000000, 30, 1090554
O3, double, 1000000, 30, 1093272
O3, double, 1000000, 30, 1089534
O3, double, 1000000, 30, 1089648
O3, double, 1000000, 30, 1090056
O3, double, 1000000, 30, 1089720
O3, double, 1000000, 30, 1096282
O3, double, 1000000, 30, 1089032
O3, double, 1000000, 30, 1090124
O3, double, 1000000, 30, 1090128
O3, double, 1000000, 30, 1089574
O3, double, 1000000, 30, 1090012
O3, double, 1000000, 30, 1091804
O3, double, 1000000, 30, 1091080
O3, double, 1000000, 30, 1089060
O3, double, 1000000, 30, 1090316
O3, double, 1000000, 30, 1090384
O3, double, 1000000, 30, 1088806
O3, double, 1000000, 30, 1090054
O3, double, 1000000, 30, 1094048
O3, double, 1000000, 30, 1090312
O3, double, 1000000, 30, 1089988
O3, double, 1000000, 30, 1089704
O3, double, 1000000, 30, 1089062
O3, double, 1000000, 30, 1089980
O3, double, 1000000, 30, 1089580
O3, double, 1000000, 30, 1091224
O3, double, 10000000, 20, 13222042
O3, double, 10000000, 20, 13355460
O3, double, 10000000, 20, 13171576
O3, double, 10000000, 20, 13284362
O3, double, 10000000, 20, 13263794
O3, double, 10000000, 20, 13521280
O3, double, 10000000, 20, 13179398
O3, double, 10000000, 20, 13356792
O3, double, 10000000, 20, 13242116
O3, double, 10000000, 20, 13522606
O3, double, 10000000, 20, 13371616
O3, double, 10000000, 20, 13202488
O3, double, 10000000, 20, 13334612
O3, double, 10000000, 20, 13198332
O3, double, 10000000, 20, 13473816
O3, double, 10000000, 20, 13318916
O3, double, 10000000, 20, 13241356
O3, double, 10000000, 20, 13166964
O3, double, 10000000, 20, 13293208
O3, double, 10000000, 20, 13263122
O3, double, 100000000, 15, 135143350
O3, double, 100000000, 15, 132219036
O3, double, 100000000, 15, 133829956
O3, double, 100000000, 15, 132446848
O3, double, 100000000, 15, 132061372
O3, double, 100000000, 15, 131968284
O3, double, 100000000, 15, 132550588
O3, double, 100000000, 15, 133564020
O3, double, 100000000, 15, 135194560
O3, double, 100000000, 15, 132571714
O3, double, 100000000, 15, 133914498
O3, double, 100000000, 15, 131662298
O3, double, 100000000, 15, 134778596
O3, double, 100000000, 15, 135113200
O3, double, 100000000, 15, 131979552
